nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,        pressure,      z-velocity,      y-velocity,      x-velocity,cell-wall-distance,boundary-normal-dist
      8428, 1.718208736E+00, 2.000000011E-01, 2.375160525E+00,-1.461947133E+00,-3.776080976E-02,-1.871822821E-03, 5.006172483E+01, 2.331592050E+00, 2.000000024E-01
      8429, 2.723835340E+00, 2.000000006E-01, 2.375629239E+00,-2.565687394E-02,-2.450480302E-02,-1.290178367E-03, 5.003829433E+01, 2.375629226E+00, 2.000000043E-01
      8430,-4.196626195E+00, 1.999999984E-01, 2.376328563E+00, 2.313152453E+00, 1.059747606E-02, 7.696404595E-04, 4.999883522E+01, 2.376328550E+00, 2.000000056E-01
      8431, 1.842145969E+00, 2.000000080E-01, 2.378132488E+00,-1.170569465E+00,-3.704335036E-02,-1.853918826E-03, 5.005721942E+01, 2.368828812E+00, 2.000000028E-01
      8432,-1.692402271E+00, 2.000000046E-01, 2.378543924E+00, 1.982575176E+00, 7.783956574E-02, 3.925550631E-03, 5.000488265E+01, 2.378543922E+00, 1.999999981E-01
      8433,-1.942114005E-02, 1.999999973E-01, 2.378664026E+00,-4.504121468E+00, 6.653937512E-02, 3.227299655E-03, 5.011478520E+01, 1.934998153E+00, 2.000000005E-01
      8434,-1.769718066E+00, 2.000000038E-01, 2.378999350E+00, 2.094662604E+00, 7.497251451E-02, 3.818821460E-03, 5.000286795E+01, 2.378999345E+00, 2.000000013E-01
      8435,-1.101493746E+00, 2.000000077E-01, 2.380557392E+00, 4.218501614E-01, 9.942139506E-02, 4.084648219E-03, 5.003228823E+01, 2.251380811E+00, 2.000000129E-01
      8436,-4.402038260E+00, 2.000000014E-01, 2.380640935E+00, 2.282047796E+00, 7.768561657E-03, 6.048847567E-04, 4.999931212E+01, 2.380640925E+00, 2.000000070E-01
      8437, 2.123545065E+00, 2.000000125E-01, 2.381800480E+00,-6.345832671E-01,-3.380604598E-02,-1.367223638E-03, 5.004833683E+01, 2.381800482E+00, 2.000000072E-01
      8438,-2.822650454E+00, 2.000000140E-01, 2.382792078E+00, 2.569585608E+00, 3.741261722E-02, 2.260439856E-03, 4.999415545E+01, 2.382792095E+00, 2.000000084E-01
      8439,-3.465214333E+00, 1.999999983E-01, 2.384748559E+00, 2.453774192E+00, 2.240365521E-02, 1.374108939E-03, 4.999628276E+01, 2.384748550E+00, 1.999999995E-01
      8440, 4.519277353E+00, 2.000000117E-01, 2.384939696E+00, 8.276212756E-02,-9.399146162E-03,-5.307054538E-04, 5.003635224E+01, 2.384939701E+00, 2.000000125E-01
      8441, 3.857697736E+00, 2.000000024E-01, 2.385814661E+00, 1.604660469E-01,-1.239254852E-02,-7.191607527E-04, 5.003511443E+01, 2.385814660E+00, 2.000000009E-01
      8442, 4.196781303E+00, 1.999999981E-01, 2.386895974E+00, 1.263748977E-01,-1.051870342E-02,-5.997967960E-04, 5.003562983E+01, 2.386895971E+00, 2.000000011E-01
      8443,-1.605049172E-01, 2.000000142E-01, 2.387755665E+00,-3.992091225E+00, 7.781671755E-02, 3.353780195E-03, 5.010649918E+01, 1.959306105E+00, 2.000000100E-01
      8444, 1.660354691E+00, 1.999999964E-01, 2.387770830E+00,-1.645137985E+00,-3.724307209E-02,-1.805951995E-03, 5.006468947E+01, 2.317135941E+00, 1.999999984E-01
      8445,-2.522679521E+00, 1.999999996E-01, 2.388618327E+00, 2.553228140E+00, 4.590564782E-02, 2.475802310E-03, 4.999441157E+01, 2.388618329E+00, 2.000000018E-01
      8446, 1.225981326E+00, 2.000000004E-01, 2.391837775E+00,-2.986754464E+00,-3.223949992E-02,-5.920621515E-04, 5.008742859E+01, 2.129933815E+00, 1.999999989E-01
