cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,        pressure,      z-velocity,      y-velocity,      x-velocity,cell-wall-distance,boundary-normal-dist
       307, 1.015485451E-02,-8.383546712E-16, 4.372581542E-01,-1.338777313E+02, 2.450166130E+01,-1.712519015E-13, 4.623744202E+01, 1.114559267E-02, 3.105789712E-03
       308, 6.665406283E-03,-9.673122610E-16, 4.272368848E-01, 1.159992371E+02, 2.958505058E+01,-4.854568136E-12, 3.839596558E+01, 5.444091279E-03, 1.859948112E-03
       309, 3.832482034E-03, 7.728076486E-17, 4.191164374E-01, 5.474605103E+02, 3.234440613E+01,-2.581795888E-12, 2.588586807E+01, 2.245755401E-03, 7.612727111E-04
       310, 1.936721033E-03,-3.671466957E-17, 4.115140438E-01, 1.105445312E+03, 2.724845123E+01, 6.161959831E-12, 9.070362091E+00, 3.587101528E-04, 1.190677703E-04
       311, 4.877754953E-03,-8.411000638E-16, 4.283445179E-01, 1.999277191E+02, 2.751972961E+01,-1.966177221E-12, 3.788990021E+01, 7.444132119E-03, 2.448639402E-03
       312, 2.657511737E-03,-1.309376749E-16, 4.196090698E-01, 6.023435669E+02, 3.004246140E+01,-1.269262473E-12, 2.613456154E+01, 3.484615125E-03, 1.181037583E-03
       313, 1.160612330E-03,-1.178578848E-16, 4.117127359E-01, 1.123720825E+03, 2.575920105E+01, 5.449640739E-12, 1.183474255E+01, 1.150572440E-03, 3.823222149E-04
       314, 2.669743262E-03,-7.853077506E-16, 4.296501279E-01, 2.696300049E+02, 2.532684517E+01,-1.759425938E-13, 3.747877884E+01, 9.872696362E-03, 2.728805884E-03
       315, 1.237448538E-03,-3.844386615E-16, 4.202230275E-01, 6.501852417E+02, 2.761309433E+01, 1.255107129E-13, 2.654093361E+01, 4.993063863E-03, 1.691615858E-03
       316, 2.211653336E-04,-2.160902545E-16, 4.119563103E-01, 1.137259277E+03, 2.402490425E+01, 4.384367869E-12, 1.288173103E+01, 2.110353904E-03, 7.013945548E-04
       317, 8.585073374E-05,-4.644349412E-16, 4.039127231E-01, 1.478611084E+03, 1.315871334E+01,-1.428190899E-12, 2.394629240E+00, 3.507630609E-04, 1.117877446E-04
       318,-4.932197626E-04,-6.259407779E-16, 4.209757149E-01, 6.885623169E+02, 2.502268410E+01, 6.263878305E-13, 2.719937134E+01, 6.832715590E-03, 2.199047204E-03
       319,-9.178994223E-04,-3.353313176E-16, 4.122547209E-01, 1.145450684E+03, 2.212486458E+01, 3.289701844E-12, 1.418071938E+01, 3.275899217E-03, 1.088916606E-03
       320,-7.017186144E-04,-4.858187115E-16, 4.039731622E-01, 1.472599854E+03, 1.292146778E+01,-1.186689635E-12, 3.196603775E+00, 1.124323928E-03, 3.590163663E-04
       321,-2.622808563E-03,-7.315509634E-16, 4.218706787E-01, 7.134584351E+02, 2.232494545E+01,-1.531552662E-13, 2.817973900E+01, 9.075354785E-03, 2.423966776E-03
       322,-2.302515088E-03,-4.804803922E-16, 4.126210511E-01, 1.145793945E+03, 2.012454987E+01, 2.185251979E-12, 1.574950790E+01, 4.694433417E-03, 1.560656321E-03
       323,-1.654976397E-03,-5.116555457E-16, 4.040498137E-01, 1.460416382E+03, 1.194923973E+01,-8.403278073E-13, 4.945770741E+00, 2.061547479E-03, 6.588278536E-04
       324,-3.997380380E-03,-6.168540732E-16, 4.130705893E-01, 1.133023804E+03, 1.802930260E+01, 9.111600363E-13, 1.767451859E+01, 6.438235752E-03, 1.988761453E-03
       325,-2.811016748E-03,-5.429086263E-16, 4.041422606E-01, 1.439578613E+03, 1.092413902E+01,-4.853895064E-13, 6.838390827E+00, 3.198939143E-03, 1.023140816E-03
       326, 7.750980876E-05, 8.305743030E-16, 3.961585462E-01, 1.501545776E+03,-1.321855831E+01, 3.369193813E-12, 3.064426661E+00, 3.456188715E-04, 1.135908714E-04
