nodenumber,    x-coordinate,    y-coordinate,  turb-diss-rate,turb-kinetic-energy,      y-velocity,      x-velocity,        pressure,boundary-normal-dist
      1342, 5.166862965E+00, 3.228661045E-02, 6.141105957E+02, 2.833607292E+01,-3.989507258E-01, 3.908538818E+01,-3.732459545E-01, 7.951316237E-02
      1343,-8.980972171E-01, 3.230631351E-02, 2.587490156E-02, 4.487783182E-03,-6.773159981E+00, 4.526655960E+01, 5.012270203E+02, 1.257213671E-02
      1344,-8.462314606E-01, 3.231050447E-02, 6.724184752E-02, 5.000085570E-03,-2.766942978E-01, 4.918564224E+01, 3.034855042E+02, 8.601975627E-03
      1345,-8.745473623E-01, 3.233814240E-02, 4.592569172E-02, 4.677528981E-03,-3.589387417E+00, 4.857106018E+01, 3.315740356E+02, 9.549810551E-03
      1346,-1.738814712E-01, 3.237199411E-02, 4.777322266E+03, 7.783553600E+00, 9.364790916E+00,-1.228561401E+01, 1.845303711E+03, 2.081204439E-03
      1347,-1.292521954E+00, 3.239583969E-02, 3.675820539E-03, 4.017067142E-03, 2.126103789E-01, 4.700465012E+01, 4.349969788E+02, 4.238609225E-02
      1348,-8.084462881E-01, 3.240038082E-02, 6.453202665E-02, 5.171986762E-03, 2.448265076E+00, 4.726391983E+01, 4.128762817E+02, 1.000155788E-02
      1349,-8.586360216E-01, 3.241129965E-02, 6.184933707E-02, 4.885583185E-03,-1.589471221E+00, 4.924266052E+01, 2.986430359E+02, 8.654068224E-03
      1350,-9.513730407E-01, 3.244474530E-02, 7.947390899E-03, 4.445980303E-03,-3.484662175E-01, 3.641342926E+01, 9.738592529E+02, 3.508353978E-02
      1351, 1.487242132E-01, 3.252009675E-02, 1.676125781E+04, 1.543107700E+01,-7.539219856E+00,-1.035968590E+01,-7.370387573E+02, 2.065302338E-03
      1352,-8.131582141E-01, 3.252388909E-02, 6.793870032E-02, 5.172603764E-03, 2.205383778E+00, 4.762052917E+01, 3.931915588E+02, 9.557676502E-03
      1353,-7.373080850E-01, 3.254665062E-02, 5.100886151E-02, 5.617614370E-03, 4.064130306E+00, 4.055289078E+01, 7.667311401E+02, 1.813833416E-02
      1354,-8.270621896E-01, 3.256288171E-02, 7.230287790E-02, 5.127654411E-03, 1.327750206E+00, 4.849573517E+01, 3.440393066E+02, 8.781875484E-03
      1355,-8.610514998E-01, 3.256372735E-02, 6.163877994E-02, 4.868548363E-03,-1.873430133E+00, 4.922449493E+01, 2.991194763E+02, 8.578054607E-03
      1356,-8.297015429E-01, 3.260907158E-02, 7.321494818E-02, 5.119508132E-03, 1.135702252E+00, 4.863505554E+01, 3.361191101E+02, 8.633791469E-03
      1357,-8.323560357E-01, 3.260939568E-02, 7.290215790E-02, 5.101778079E-03, 9.313182235E-01, 4.876230621E+01, 3.288883057E+02, 8.543633856E-03
      1358,-7.771122456E-01, 3.261436895E-02, 5.825608224E-02, 5.362253636E-03, 3.600043535E+00, 4.454130173E+01, 5.612146606E+02, 1.270962879E-02
      1359,-1.987609416E-01, 3.264541551E-02, 9.172210693E+02, 8.689947128E+00, 5.208474159E+00,-4.655224323E+00, 1.822187622E+03, 1.732043922E-02
      1360,-4.500861466E-01, 3.266573697E-02, 1.789807826E-01, 1.619461738E-02, 3.545317173E+00, 2.015547562E+01, 1.525816650E+03, 4.794666171E-02
      1361,-8.030798435E-01, 3.266820684E-02, 6.520692259E-02, 5.199018866E-03, 2.721902370E+00, 4.686288071E+01, 4.352487793E+02, 1.014033426E-02
      1362, 2.555635571E-01, 3.269622847E-02, 1.723332062E+02, 7.923779488E+00,-1.010996699E+00, 9.753429890E-01,-7.401425781E+02, 5.240878090E-02
      1363,-6.821836233E-01, 3.269785643E-02, 5.018560961E-02, 6.167652551E-03, 3.662882090E+00, 3.526610184E+01, 1.013588928E+03, 2.782581747E-02
      1364,-7.940704226E-01, 3.275983781E-02, 6.249079108E-02, 5.241799634E-03, 3.098548889E+00, 4.610844421E+01, 4.767316895E+02, 1.082276367E-02
      1365,-9.007675648E-01, 3.277322277E-02, 2.512681857E-02, 4.474011250E-03,-7.156666279E+00, 4.471341705E+01, 5.293849487E+02, 1.263281144E-02
      1366,-7.995490432E-01, 3.277561814E-02, 6.441265345E-02, 5.208291113E-03, 2.884672165E+00, 4.657860184E+01, 4.509838867E+02, 1.032308675E-02
      1367,-6.105010509E-01, 3.279092535E-02, 5.986670777E-02, 7.524105255E-03, 2.567967653E+00, 3.017431450E+01, 1.221245850E+03, 4.706440866E-02
      1368,-8.442152143E-01, 3.280723840E-02, 7.467638701E-02, 5.058275070E-03,-7.411769778E-02, 4.919710159E+01, 3.032875366E+02, 8.114939556E-03
      1369,-8.790348768E-01, 3.282500058E-02, 4.387324303E-02, 4.636839032E-03,-4.261970043E+00, 4.827024841E+01, 3.460529175E+02, 9.449510835E-03
      1370,-8.810622096E-01, 3.283677250E-02, 4.236248881E-02, 4.618474748E-03,-4.560044765E+00, 4.806688690E+01, 3.563233948E+02, 9.637285024E-03
      1371,-8.769294024E-01, 3.284127638E-02, 4.677620158E-02, 4.666381050E-03,-3.963284969E+00, 4.846469116E+01, 3.364949646E+02, 9.243183769E-03
      1372,-7.126100659E-01, 3.285100684E-02, 5.048112571E-02, 5.848397501E-03, 4.017448425E+00, 3.808598709E+01, 8.851331787E+02, 2.193321474E-02
      1373,-8.633468747E-01, 3.293387592E-02, 6.466590613E-02, 4.872675054E-03,-2.157809258E+00, 4.922065735E+01, 2.989200134E+02, 8.295770735E-03
      1374, 1.774760187E-01, 3.295003995E-02, 4.240109558E+02, 7.071005821E+00,-1.899817944E+00,-1.990018606E+00,-7.370782471E+02, 1.972776651E-02
      1375,-7.570369244E-01, 3.295338899E-02, 5.486467108E-02, 5.491320044E-03, 3.988602400E+00, 4.256700897E+01, 6.646266479E+02, 1.487135515E-02
      1376,-8.653413653E-01, 3.296085447E-02, 6.147081777E-02, 4.837433342E-03,-2.406594753E+00, 4.916464996E+01, 3.017339478E+02, 8.357464336E-03
      1377,-8.244541883E-01, 3.297375515E-02, 7.783124596E-02, 5.176818464E-03, 1.535254240E+00, 4.838366699E+01, 3.506177368E+02, 8.484719321E-03
      1378,-8.219617009E-01, 3.307482600E-02, 7.825163007E-02, 5.191853270E-03, 1.708641648E+00, 4.824282074E+01, 3.584793091E+02, 8.503031917E-03
      1379,-8.670660257E-01, 3.308162838E-02, 6.101717427E-02, 4.821514711E-03,-2.631102800E+00, 4.911615372E+01, 3.039716492E+02, 8.323069662E-03
      1380, 1.553534567E-01, 3.309202194E-02, 3.109082764E+03, 1.004211807E+01,-4.839612961E+00,-6.206468582E+00,-7.366702881E+02, 5.595106166E-03
      1381,-8.860690594E-01, 3.309657797E-02, 3.887530044E-02, 4.574385006E-03,-5.308935165E+00, 4.750128555E+01, 3.846453247E+02, 9.945145808E-03
      1382,-7.232719064E-01, 3.310254216E-02, 5.131014809E-02, 5.751781166E-03, 4.103188038E+00, 3.915375137E+01, 8.347676392E+02, 1.985146105E-02
      1383,-9.149966836E-01, 3.311464563E-02, 1.688907668E-02, 4.437870812E-03,-7.659528732E+00, 4.052886581E+01, 7.431999512E+02, 1.593591645E-02
      1384,-7.180269957E-01, 3.312489018E-02, 5.147100985E-02, 5.808875430E-03, 4.078993797E+00, 3.862487411E+01, 8.599685669E+02, 2.071954496E-02
      1385,-8.834502101E-01, 3.314765543E-02, 4.207355157E-02, 4.603190813E-03,-4.940263271E+00, 4.785009766E+01, 3.668653564E+02, 9.584480897E-03
      1386,-8.347961307E-01, 3.315112740E-02, 8.118236810E-02, 5.137613975E-03, 7.584882379E-01, 4.892184448E+01, 3.200107422E+02, 7.931584492E-03
      1387,-1.888029873E-01, 3.316903114E-02, 1.326704834E+03, 9.616379738E+00, 6.515796661E+00,-7.095309734E+00, 1.830058960E+03, 1.056147460E-02
      1388,-1.730976850E-01, 3.318117559E-02, 2.252214648E+04, 9.920446396E+00, 1.095408821E+01,-1.476809311E+01, 1.844679810E+03, 9.642652003E-04
      1389,-8.400502801E-01, 3.319304809E-02, 8.112034947E-02, 5.110625643E-03, 3.197867274E-01, 4.912199402E+01, 3.081697998E+02, 7.777392399E-03
      1390,-8.197972775E-01, 3.319894150E-02, 7.862406969E-02, 5.206307862E-03, 1.853564262E+00, 4.811840057E+01, 3.655619507E+02, 8.491438814E-03
      1391,-8.063465357E-01, 3.320626915E-02, 7.224208862E-02, 5.219785031E-03, 2.615848064E+00, 4.715717697E+01, 4.193376770E+02, 9.351649322E-03
      1392, 1.478373110E-01, 3.324948251E-02, 3.078908594E+04, 1.435151863E+01,-1.057779312E+01,-1.417861366E+01,-7.383741455E+02, 9.509443771E-04
      1393,-8.685887456E-01, 3.325530514E-02, 6.157827377E-02, 4.813839216E-03,-2.839903116E+00, 4.907431030E+01, 3.058767090E+02, 8.233597502E-03
      1394,-7.072792649E-01, 3.333378211E-02, 5.154770613E-02, 5.911681801E-03, 4.021326065E+00, 3.757173157E+01, 9.092392578E+02, 2.241123095E-02
      1395,-3.957875371E-01, 3.335349262E-02, 5.509873629E-01, 3.401958197E-02, 4.035497665E+00, 1.494264793E+01, 1.635185181E+03, 4.897541180E-02
      1396,-5.917086601E-01, 3.337924182E-02, 7.569175214E-02, 9.143786505E-03, 2.478589535E+00, 2.915175247E+01, 1.259100708E+03, 4.777073488E-02
      1397,-8.112974167E-01, 3.342857957E-02, 7.790617645E-02, 5.241656676E-03, 2.374083281E+00, 4.754948807E+01, 3.975877991E+02, 8.777616546E-03
      1398,-8.177561164E-01, 3.343624249E-02, 8.152887225E-02, 5.234543234E-03, 1.995996237E+00, 4.800315094E+01, 3.721686401E+02, 8.367608301E-03
      1399,-8.702145219E-01, 3.344992921E-02, 6.185941771E-02, 4.803713411E-03,-3.065449476E+00, 4.901908112E+01, 3.084868774E+02, 8.137175813E-03
      1400,-9.232415557E-01, 3.349087015E-02, 1.358031761E-02, 4.428725224E-03,-6.683969498E+00, 3.800127411E+01, 8.721983032E+02, 1.851972379E-02
      1401,-8.425634503E-01, 3.352082521E-02, 8.711017668E-02, 5.137691274E-03, 9.996289015E-02, 4.923451996E+01, 3.019086914E+02, 7.416032720E-03
